Ward name,New code,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Rate of JobSeekers Allowance (JSA) Claimants - 2015,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,
Merton - Merton Park,E05000466,1950,6250.00,1550.00,19.90,64.20,15.90,1.10,54.80,12.30,0.40,18.80,
Merton - Pollards Hill,E05000467,2550,7050.00,1150.00,23.70,65.50,10.80,3.70,60.20,19.60,0.70,52.80,
Merton - Ravensbury,E05000468,2250,6700.00,1350.00,21.70,65.30,13.00,3.50,63.70,23.60,0.40,37.80,
Merton - Raynes Park,E05000469,2050,6550.00,1450.00,20.50,65.30,14.20,1.20,43.90,9.70,0.30,24.40,
Merton - St. Helier,E05000470,2350,6900.00,1450.00,22.00,64.60,13.40,2.40,51.40,15.20,0.20,41.60,
Merton - Trinity,E05000471,2050,7100.00,900.00,20.50,70.70,8.80,1.50,83.90,18.70,0.00,15.70,
Merton - Village,E05000472,1650,5350.00,1800.00,18.90,60.80,20.30,0.50,52.20,9.90,n/a,62.20,
Merton - West Barnes,E05000473,2150,6600.00,1500.00,20.90,64.60,14.50,0.90,49.60,8.90,0.20,32.40,
Merton - Wimbledon Park,E05000474,2700,7750.00,1050.00,23.60,67.40,9.10,1.10,42.20,6.40,0.10,28.50,
Newham - Beckton,E05000475,3650,12200.00,800.00,22.00,73.10,4.90,3.00,125.20,27.40,1.10,30.90,
Newham - Boleyn,E05000476,4050,11000.00,1300.00,24.90,67.10,8.10,3.30,69.80,21.30,0.40,6.10,
Newham - Canning Town North,E05000477,3550,11850.00,1250.00,21.40,71.00,7.60,5.00,93.90,29.80,4.30,21.60,
Newham - Canning Town South,E05000478,4050,15100.00,1250.00,19.80,74.10,6.10,3.10,64.80,15.80,1.00,26.60,
Newham - Custom House,E05000479,3500,10400.00,1000.00,23.50,69.80,6.70,3.30,108.10,25.30,1.20,30.60,
Newham - East Ham Central,E05000480,3650,11350.00,1200.00,22.40,70.00,7.50,2.80,111.80,31.50,0.70,10.80,
Newham - East Ham North,E05000481,3050,10100.00,1100.00,21.50,70.80,7.80,2.30,54.70,18.90,0.30,12.40,
Newham - East Ham South,E05000482,4250,10800.00,1200.00,26.30,66.40,7.30,3.20,67.10,21.00,0.60,23.50,
Newham - Forest Gate North,E05000483,3500,11800.00,1250.00,21.20,71.40,7.40,3.40,64.70,20.40,0.80,13.80,
Newham - Forest Gate South,E05000484,3650,13300.00,1150.00,20.20,73.40,6.40,3.70,87.90,28.30,0.70,2.20,
Newham - Green Street East,E05000485,3650,11650.00,1000.00,22.30,71.50,6.20,3.00,60.10,18.50,0.30,2.40,
Newham - Green Street West,E05000486,3350,10950.00,1200.00,21.50,70.70,7.80,3.10,71.20,23.50,0.60,3.20,
Newham - Little Ilford,E05000487,4750,11200.00,1150.00,27.90,65.50,6.70,4.10,75.60,22.90,0.70,48.60,
Newham - Manor Park,E05000488,3750,10750.00,1100.00,24.00,68.80,7.10,3.70,66.80,21.90,0.50,26.60,
Newham - Plaistow North,E05000489,3700,10900.00,1200.00,23.40,69.00,7.60,4.40,61.90,21.00,0.40,10.70,
Newham - Plaistow South,E05000490,4700,11000.00,1100.00,27.90,65.60,6.50,3.70,92.00,29.90,0.80,14.60,
Newham - Royal Docks,E05000491,3450,12500.00,600.00,20.80,75.50,3.70,2.10,71.50,15.00,0.50,56.80,
Newham - Stratford and New Town,E05000492,3700,21750.00,1250.00,13.90,81.40,4.70,2.40,240.90,37.80,0.80,44.70,
Newham - Wall End,E05000493,3850,10300.00,1000.00,25.40,67.90,6.80,2.80,46.60,17.70,0.30,33.90,
Newham - West Ham,E05000494,3300,11600.00,1250.00,20.30,72.00,7.60,4.00,58.80,19.80,0.50,27.20,
Redbridge - Aldborough,E05000495,3500,10400.00,1900.00,22.30,65.70,12.00,2.10,66.30,16.50,0.20,78.20,
Redbridge - Barkingside,E05000496,2600,8600.00,1950.00,19.70,65.30,15.00,2.00,50.50,16.70,0.20,1.30,
Redbridge - Bridge,E05000497,2350,7750.00,1750.00,20.00,65.20,14.80,1.80,58.60,16.50,0.20,35.80,
Redbridge - Chadwell,E05000498,3750,9600.00,1500.00,25.40,64.50,10.10,3.00,54.50,18.20,0.20,5.00,
Redbridge - Church End,E05000499,2300,8100.00,1450.00,19.50,68.20,12.40,1.10,61.00,13.40,0.00,4.80,
Redbridge - Clayhall,E05000500,2650,8850.00,2100.00,19.50,65.10,15.40,1.30,54.00,12.20,0.20,22.00,
Redbridge - Clementswood,E05000501,4750,10950.00,1250.00,27.90,64.70,7.40,3.30,136.70,43.10,0.40,7.10,
Redbridge - Cranbrook,E05000502,2900,8700.00,1700.00,21.60,65.60,12.70,1.90,73.00,18.70,0.50,39.90,
Redbridge - Fairlop,E05000503,2700,8450.00,1800.00,20.80,65.20,13.90,1.90,57.70,20.70,0.00,48.40,
Redbridge - Fullwell,E05000504,2750,8350.00,2100.00,20.90,63.30,15.80,2.20,55.40,16.70,0.10,23.70,
Redbridge - Goodmayes,E05000505,3400,8900.00,1150.00,25.30,66.20,8.50,3.00,70.30,21.70,0.70,27.70,
Redbridge - Hainault,E05000506,3050,8600.00,1900.00,22.70,63.30,14.10,2.90,60.40,21.40,0.50,62.60,
Redbridge - Loxford,E05000507,5150,11300.00,1200.00,29.20,63.90,6.90,4.10,86.20,28.50,0.50,16.80,
Redbridge - Mayfield,E05000508,3400,8900.00,1650.00,24.40,63.80,11.80,2.30,52.50,15.80,0.10,14.30,
Redbridge - Monkhams,E05000509,1750,6550.00,2300.00,16.50,61.70,21.80,0.80,48.10,9.00,0.20,31.00,
Redbridge - Newbury,E05000510,4350,11400.00,1700.00,24.80,65.40,9.80,2.30,54.90,15.00,0.40,21.40,
Redbridge - Roding,E05000511,2900,8250.00,1400.00,23.30,65.80,11.00,1.90,50.30,12.80,0.40,35.70,
Redbridge - Seven Kings,E05000512,4200,11200.00,1550.00,24.90,66.10,9.00,2.90,87.30,29.40,0.30,21.40,
Redbridge - Snaresbrook,E05000513,2150,7900.00,2050.00,17.80,65.40,16.80,0.90,51.80,10.90,0.20,12.60,
Redbridge - Valentines,E05000514,3950,9750.00,1300.00,26.20,64.90,8.80,3.10,104.50,31.10,0.30,13.30,
Redbridge - Wanstead,E05000515,2350,7450.00,1950.00,20.00,63.50,16.50,1.30,71.80,9.20,0.80,66.50,
Richmond upon Thames - Barnes,E05000516,2100,6750.00,1700.00,19.90,64.10,16.00,1.00,55.70,9.60,0.00,54.40,
Richmond upon Thames - East Sheen,E05000517,2500,6400.00,1650.00,23.60,60.70,15.70,0.80,48.70,8.60,0.20,76.60,
Richmond upon Thames - Fulwell and Hampton Hill,E05000518,2250,6600.00,1450.00,21.80,64.10,14.10,1.30,44.70,11.60,0.10,32.70,
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",E05000519,2000,6700.00,1900.00,19.00,63.20,17.80,1.70,56.00,14.00,0.70,81.90,
Richmond upon Thames - Hampton,E05000520,2050,6300.00,1850.00,20.10,61.70,18.20,1.40,49.70,11.00,0.30,74.70,
Richmond upon Thames - Hampton North,E05000521,1850,6100.00,1650.00,19.40,63.40,17.20,1.90,47.90,15.80,0.40,28.20,
Richmond upon Thames - Hampton Wick,E05000522,2150,6900.00,1450.00,20.30,65.80,13.90,1.30,46.20,10.80,0.00,50.00,
Richmond upon Thames - Heathfield,E05000523,2100,6800.00,1700.00,19.90,64.10,16.00,2.50,55.30,19.00,0.60,27.10,
Richmond upon Thames - Kew,E05000524,2450,7450.00,1750.00,21.00,63.80,15.20,1.00,56.70,9.30,0.40,56.70,
Richmond upon Thames - Mortlake and Barnes Common,E05000525,2600,7100.00,1400.00,23.40,63.90,12.70,1.50,64.10,14.40,0.40,39.10,
Richmond upon Thames - North Richmond,E05000526,2200,7250.00,1600.00,19.90,65.60,14.50,1.30,58.60,14.10,0.20,54.10,
Richmond upon Thames - St. Margarets & North Twickenham,E05000527,2750,8000.00,1100.00,23.10,67.70,9.20,0.80,58.30,11.50,0.30,23.60,
Richmond upon Thames - South Richmond,E05000528,1900,7600.00,1550.00,17.10,68.70,14.20,1.10,110.70,22.10,0.10,47.40,
Richmond upon Thames - South Twickenham,E05000529,2000,6900.00,1200.00,19.60,68.60,11.80,0.90,35.30,9.00,0.20,26.70,
Richmond upon Thames - Teddington,E05000530,2050,6900.00,1600.00,19.30,65.50,15.20,1.00,46.40,10.10,0.10,64.00,
Richmond upon Thames - Twickenham Riverside,E05000531,2000,7250.00,1350.00,19.00,68.10,12.90,0.90,66.70,20.20,0.30,37.80,
Richmond upon Thames - West Twickenham,E05000532,2400,6950.00,1350.00,22.50,64.80,12.70,1.10,55.20,13.60,0.40,45.60,
Richmond upon Thames - Whitton,E05000533,1900,6300.00,1800.00,19.10,62.90,17.90,1.10,49.60,13.30,0.50,21.20,
Southwark - Brunswick Park,E05000534,2700,9900.00,950.00,19.80,73.10,7.10,4.00,104.80,33.60,0.60,7.00,
Southwark - Camberwell Green,E05000535,3400,11450.00,1100.00,21.30,71.70,7.00,4.60,111.20,37.10,1.00,1.60,
Southwark - Cathedrals,E05000536,1700,14350.00,1200.00,9.90,83.10,7.00,3.50,184.90,32.30,0.70,15.70,
Southwark - Chaucer,E05000537,2300,13050.00,850.00,14.30,80.50,5.20,3.30,114.40,29.40,0.10,5.60,
Southwark - College,E05000538,2450,8000.00,1400.00,20.60,67.40,12.00,2.90,73.30,16.60,0.40,43.70,
Southwark - East Dulwich,E05000539,2500,8800.00,1150.00,20.00,70.90,9.10,1.90,60.30,15.60,0.20,0.70,
Southwark - East Walworth,E05000540,2450,10300.00,1100.00,17.80,74.40,7.80,4.10,159.30,44.60,0.30,24.10,
Southwark - Faraday,E05000541,3000,9100.00,1000.00,23.00,69.50,7.50,4.90,97.40,30.00,1.40,30.00,
Southwark - Grange,E05000542,2500,14100.00,1000.00,14.10,80.20,5.70,3.10,106.20,25.50,0.80,4.50,
Southwark - Livesey,E05000543,3450,10300.00,1300.00,22.90,68.50,8.60,5.30,98.20,31.90,0.60,4.50,
Southwark - Newington,E05000544,2600,11650.00,1250.00,16.90,75.10,8.00,4.20,110.40,31.70,0.90,3.70,
Southwark - Nunhead,E05000545,2850,9750.00,1250.00,20.70,70.30,9.00,4.80,68.70,23.80,0.60,20.10,
Southwark - Peckham,E05000546,3650,10600.00,1100.00,23.70,69.10,7.20,5.60,95.70,32.70,0.50,7.00,
Southwark - Peckham Rye,E05000547,2950,9450.00,1150.00,21.70,69.80,8.50,2.80,56.50,15.90,0.10,45.70,
Southwark - Riverside,E05000548,2250,13300.00,1050.00,13.60,80.10,6.40,2.00,101.90,20.80,0.40,23.20,
Southwark - Rotherhithe,E05000549,2650,11350.00,1050.00,17.70,75.40,6.90,2.90,97.50,25.60,0.70,34.10,
Southwark - South Bermondsey,E05000550,2850,10500.00,1050.00,19.80,72.90,7.40,3.50,103.30,28.60,0.30,3.00,
Southwark - South Camberwell,E05000551,2550,9700.00,950.00,19.20,73.50,7.30,3.00,52.20,15.80,0.20,19.90,
Southwark - Surrey Docks,E05000552,1950,12500.00,950.00,12.70,81.10,6.10,1.70,53.70,11.00,1.40,40.30,
Southwark - The Lane,E05000553,3550,11450.00,1450.00,21.60,69.70,8.80,3.60,138.10,40.10,0.40,6.00,
Southwark - Village,E05000554,2800,8200.00,1500.00,22.30,65.70,12.00,1.20,57.50,9.50,0.00,33.80,
Sutton - Beddington North,E05000555,2200,6850.00,1550.00,20.70,64.80,14.50,0.90,59.60,14.80,0.30,53.00,
Sutton - Beddington South,E05000556,2350,6850.00,1750.00,21.40,62.70,15.90,2.50,52.90,16.30,0.60,39.00,
Sutton - Belmont,E05000557,1900,6600.00,1800.00,18.50,63.90,17.60,1.30,35.60,11.00,0.20,19.00,
Sutton - Carshalton Central,E05000558,2050,6750.00,1600.00,19.80,64.90,15.30,0.90,44.40,12.70,0.30,26.90,
Sutton - Carshalton South and Clockhouse,E05000559,2150,6350.00,1750.00,20.80,62.30,16.90,1.10,34.10,9.30,0.30,68.20,
Sutton - Cheam,E05000560,1950,6450.00,2150.00,18.50,61.10,20.30,0.90,33.90,7.40,0.30,24.70,
Sutton - Nonsuch,E05000561,1900,6950.00,2050.00,17.50,63.60,18.90,0.70,44.40,10.20,0.20,10.40,
Sutton - St. Helier,E05000562,3050,7950.00,1300.00,24.70,64.70,10.70,2.40,71.90,28.70,0.40,25.80,
Sutton - Stonecot,E05000563,2050,7150.00,1750.00,18.70,65.30,16.00,1.00,48.50,11.50,0.80,21.50,
Sutton - Sutton Central,E05000564,2500,7800.00,1300.00,21.40,67.40,11.20,2.60,158.40,46.80,2.00,12.90,
Sutton - Sutton North,E05000565,2200,6550.00,1850.00,20.90,61.70,17.40,1.40,46.10,13.70,0.20,28.50,
Sutton - Sutton South,E05000566,1700,6600.00,1700.00,16.90,66.00,17.00,1.50,42.50,13.60,0.00,8.10,
Sutton - Sutton West,E05000567,2050,7350.00,1550.00,18.60,67.20,14.20,1.00,33.80,12.20,0.10,23.10,
Sutton - The Wrythe,E05000568,2100,6900.00,1500.00,20.20,65.80,14.10,1.00,61.40,17.90,0.50,18.00,
Sutton - Wallington North,E05000569,2250,7100.00,1500.00,20.80,65.20,14.00,1.50,50.60,14.90,0.40,19.20,
Sutton - Wallington South,E05000570,2000,6800.00,1850.00,18.80,63.70,17.50,1.60,50.50,16.00,0.10,9.50,
Sutton - Wandle Valley,E05000571,3000,8100.00,1150.00,24.50,66.30,9.20,2.60,65.60,22.60,0.70,40.50,
Sutton - Worcester Park,E05000572,2650,7600.00,1700.00,22.10,63.40,14.40,1.40,44.60,16.60,0.60,22.30,
Tower Hamlets - Bethnal Green North,E05000573,2650,11150.00,950.00,17.80,75.70,6.50,3.30,119.00,37.00,0.90,6.30,
Tower Hamlets - Bethnal Green South,E05000574,2900,11550.00,750.00,19.00,76.10,4.90,4.20,121.30,37.20,1.60,16.90,
Tower Hamlets - Blackwall and Cubitt Town,E05000575,4350,17800.00,1100.00,18.80,76.50,4.70,1.90,60.30,19.80,1.10,42.20,
Tower Hamlets - Bow East,E05000576,2750,11800.00,1050.00,17.70,75.40,6.80,3.00,98.90,26.40,2.10,39.00,
Tower Hamlets - Bow West,E05000577,2700,9950.00,1050.00,19.60,72.70,7.70,2.60,98.50,25.40,1.30,42.80,
Tower Hamlets - Bromley-by-Bow,E05000578,4850,13900.00,1000.00,24.60,70.40,5.00,4.60,79.30,25.60,2.10,11.60,
Tower Hamlets - East India and Lansbury,E05000579,4250,11250.00,1000.00,25.80,68.00,6.10,5.20,108.40,38.30,2.60,12.40,
Tower Hamlets - Limehouse,E05000580,3800,12350.00,950.00,22.10,72.30,5.60,3.30,88.80,28.20,1.60,23.30,
Tower Hamlets - Mile End and Globe Town,E05000581,2950,12300.00,950.00,18.30,76.00,5.80,3.70,86.60,30.30,1.10,12.50,
Tower Hamlets - Mile End East,E05000582,3400,11000.00,800.00,22.40,72.40,5.30,4.50,87.30,28.80,1.80,33.30,
Tower Hamlets - Millwall,E05000583,4500,20850.00,1000.00,17.00,79.20,3.70,1.50,74.40,22.40,0.30,35.00,
Tower Hamlets - St. Dunstan's and Stepney Green,E05000584,3800,12050.00,1300.00,22.20,70.20,7.60,4.40,78.50,27.90,0.70,21.20,
Tower Hamlets - St. Katherine's and Wapping,E05000585,2000,10700.00,900.00,14.80,78.70,6.50,1.80,96.00,19.60,0.50,36.90,
Tower Hamlets - Shadwell,E05000586,3700,11250.00,950.00,23.20,70.90,6.00,3.30,86.90,26.30,1.00,24.20,
Tower Hamlets - Spitalfields and Banglatown,E05000587,1650,9600.00,600.00,13.80,81.20,5.00,3.70,188.80,44.80,0.50,1.40,
Tower Hamlets - Weavers,E05000588,2500,11600.00,950.00,16.50,77.20,6.40,3.30,136.80,32.80,0.60,15.40,
Tower Hamlets - Whitechapel,E05000589,3000,13400.00,900.00,17.40,77.50,5.10,2.60,105.30,33.30,1.10,5.40,
Waltham Forest - Cann Hall,E05000590,3200,10100.00,1050.00,22.20,70.50,7.30,3.30,61.20,21.10,0.50,5.00,
Waltham Forest - Cathall,E05000591,2950,9350.00,1000.00,22.20,70.40,7.50,4.30,64.20,24.60,0.50,23.50,
Waltham Forest - Chapel End,E05000592,3600,9750.00,1300.00,24.60,66.60,8.70,2.70,73.00,22.10,0.60,31.20,
Waltham Forest - Chingford Green,E05000593,1850,6450.00,2300.00,17.30,60.90,21.70,1.80,69.00,19.80,0.50,54.90,
Waltham Forest - Endlebury,E05000594,1900,7250.00,2000.00,17.00,65.00,18.00,2.60,43.90,13.10,0.20,18.50,
Waltham Forest - Forest,E05000595,2750,9200.00,1300.00,20.60,69.40,10.00,2.90,81.60,24.60,0.60,40.40,
Waltham Forest - Grove Green,E05000596,3300,10800.00,1150.00,21.70,70.70,7.60,2.20,52.40,16.50,0.30,4.30,
Waltham Forest - Hale End and Highams Park,E05000597,2650,8050.00,1500.00,21.90,65.90,12.20,2.60,52.10,15.80,0.00,41.40,
Waltham Forest - Hatch Lane,E05000598,2250,7350.00,1850.00,19.50,64.30,16.20,2.70,64.40,18.50,0.40,37.70,
Waltham Forest - High Street,E05000599,3200,10450.00,1200.00,21.60,70.40,7.90,3.10,151.30,39.50,1.00,56.60,
Waltham Forest - Higham Hill,E05000600,3500,9550.00,1150.00,24.60,67.40,8.00,4.80,67.70,23.90,0.70,56.70,
Waltham Forest - Hoe Street,E05000601,3250,10100.00,1250.00,22.40,69.20,8.40,5.10,87.40,27.80,0.40,10.60,
Waltham Forest - Larkswood,E05000602,2350,7850.00,1850.00,19.50,65.10,15.40,3.00,61.80,18.80,0.30,31.40,
Waltham Forest - Lea Bridge,E05000603,4100,10800.00,1300.00,25.30,66.60,8.10,4.20,98.40,28.40,0.20,40.10,
Waltham Forest - Leyton,E05000604,3700,10150.00,1150.00,24.60,67.80,7.60,4.40,88.20,28.80,1.10,27.60,
Waltham Forest - Leytonstone,E05000605,2350,10000.00,1050.00,17.60,74.40,8.00,2.10,89.80,29.20,0.50,5.80,
Waltham Forest - Markhouse,E05000606,3700,10400.00,1200.00,24.20,68.00,7.80,4.10,72.30,21.10,1.30,30.90,
Waltham Forest - Valley,E05000607,2450,7750.00,1650.00,20.80,65.40,13.80,3.20,104.10,25.20,0.50,17.60,
Waltham Forest - William Morris,E05000608,3250,9400.00,1100.00,23.60,68.20,8.20,3.40,55.60,20.50,0.70,5.30,
Waltham Forest - Wood Street,E05000609,3450,9400.00,1300.00,24.40,66.30,9.30,4.50,74.00,25.20,0.30,34.40,
Wandsworth - Balham,E05000610,2650,11150.00,1250.00,17.60,74.00,8.40,1.10,78.00,15.60,0.20,11.80,
Wandsworth - Bedford,E05000611,2300,11600.00,1150.00,15.30,77.10,7.50,1.70,53.70,14.50,0.10,44.90,
Wandsworth - Earlsfield,E05000612,2750,12250.00,1050.00,17.30,76.20,6.60,1.30,66.10,20.70,0.10,16.50,
Wandsworth - East Putney,E05000613,2250,11850.00,1750.00,14.10,74.80,11.10,1.20,42.60,10.20,0.30,11.00,
Wandsworth - Fairfield,E05000614,2300,11950.00,1100.00,14.90,77.90,7.20,1.30,83.60,19.30,0.10,11.10,
Wandsworth - Furzedown,E05000615,3350,10950.00,1550.00,21.10,69.00,9.90,2.80,58.60,17.70,0.20,19.30,
Wandsworth - Graveney,E05000616,3000,11250.00,1400.00,19.20,71.70,9.10,2.70,100.20,27.60,0.10,2.60,
Wandsworth - Latchmere,E05000617,3050,11350.00,1400.00,19.40,71.70,8.90,4.00,74.60,25.90,1.00,12.70,
Wandsworth - Nightingale,E05000618,2750,10850.00,1350.00,18.30,72.60,9.10,1.30,64.50,13.60,0.50,9.60,
Wandsworth - Northcote,E05000619,3300,11050.00,1000.00,21.50,71.90,6.60,0.90,101.60,17.30,0.10,34.50,
Wandsworth - Queenstown,E05000620,3000,15650.00,1500.00,14.80,77.80,7.40,2.40,74.80,18.20,0.70,38.50,
Wandsworth - Roehampton,E05000621,3050,12850.00,1650.00,17.50,73.10,9.30,3.80,83.50,25.50,0.50,70.60,
Wandsworth - St. Mary's Park,E05000622,2550,12900.00,1800.00,14.80,74.70,10.50,2.00,76.60,18.40,0.40,26.90,
Wandsworth - Shaftesbury,E05000623,2150,11150.00,1200.00,14.80,76.90,8.30,1.70,79.80,18.50,0.10,2.10,
Wandsworth - Southfields,E05000624,3400,11950.00,1450.00,20.30,71.20,8.50,1.30,69.40,17.50,0.10,18.10,
Wandsworth - Thamesfield,E05000625,2650,11250.00,1550.00,17.20,72.80,10.00,0.60,96.20,14.20,0.10,34.50,
Wandsworth - Tooting,E05000626,3150,12650.00,1600.00,18.00,72.80,9.10,2.70,77.60,24.70,0.10,33.70,
Wandsworth - Wandsworth Common,E05000627,3150,11850.00,1350.00,19.40,72.40,8.20,1.00,58.80,16.50,1.30,48.20,
Wandsworth - West Hill,E05000628,3150,12150.00,1550.00,18.80,71.90,9.30,2.10,38.00,12.30,0.10,31.90,
Wandsworth - West Putney,E05000629,2750,10650.00,2000.00,17.90,69.20,12.90,2.00,51.30,14.70,0.30,20.00,
Westminster - Abbey Road,E05000630,2000,7850.00,1650.00,17.60,68.20,14.20,1.10,45.80,9.50,0.20,7.20,
Westminster - Bayswater,E05000631,1400,8000.00,1100.00,13.20,76.20,10.60,1.60,106.30,19.00,n/a,3.80,
Westminster - Bryanston and Dorset Square,E05000632,1350,9950.00,1350.00,10.60,78.60,10.80,1.60,170.50,29.60,0.00,2.10,
Westminster - Churchill,E05000633,1950,7350.00,1250.00,18.60,69.50,11.90,4.30,107.60,22.60,0.00,22.20,
Westminster - Church Street,E05000634,2700,7650.00,1650.00,22.50,63.80,13.80,6.00,80.90,29.10,0.20,7.60,
Westminster - Harrow Road,E05000635,2350,8950.00,1050.00,18.90,72.60,8.50,3.60,67.10,23.70,n/a,3.00,
Westminster - Hyde Park,E05000636,1750,10400.00,1300.00,13.10,77.20,9.70,1.10,152.60,31.10,0.10,8.90,
Westminster - Knightsbridge and Belgravia,E05000637,1050,7650.00,1400.00,10.40,75.90,13.70,0.30,177.10,22.00,0.20,69.10,
Westminster - Lancaster Gate,E05000638,1600,11050.00,1150.00,11.50,80.00,8.40,1.20,150.40,22.00,0.10,8.60,
Westminster - Little Venice,E05000639,2000,7900.00,1200.00,18.20,71.10,10.70,1.60,74.80,17.30,0.00,15.40,
Westminster - Maida Vale,E05000640,1900,7700.00,1000.00,17.90,72.90,9.20,2.00,59.00,17.30,0.00,27.20,
Westminster - Marylebone High Street,E05000641,1050,8850.00,1250.00,9.30,79.30,11.30,0.60,302.40,32.00,0.20,6.10,
Westminster - Queen's Park,E05000642,2650,9150.00,1300.00,20.20,69.90,9.90,4.00,62.20,24.80,0.20,4.40,
Westminster - Regent's Park,E05000643,1950,8550.00,2000.00,15.70,68.30,16.00,1.30,66.60,14.70,0.10,62.20,
Westminster - St. James's,E05000644,1100,9650.00,1350.00,9.00,79.80,11.20,3.70,990.00,193.70,0.60,30.70,
Westminster - Tachbrook,E05000645,850,6350.00,1250.00,10.30,74.80,14.90,2.20,57.70,17.30,0.70,32.40,
Westminster - Vincent Square,E05000646,1500,7700.00,1350.00,14.20,73.10,12.60,3.00,82.40,25.00,0.20,26.40,
Westminster - Warwick,E05000647,1050,7550.00,1200.00,10.90,77.00,12.10,2.20,138.10,28.20,0.50,4.00,
Westminster - Westbourne,E05000648,2750,9250.00,1200.00,20.80,70.20,9.00,3.40,75.50,25.30,0.50,19.20,
Westminster - West End,E05000649,950,8950.00,1300.00,8.70,79.80,11.60,1.30,1212.10,152.90,0.40,3.90,
City of London,E09000001,650,6250.00,1250.00,8.00,76.90,15.20,1.30,656.40,85.30,0.40,18.60,
Barking and Dagenham,E09000002,53700,131700.00,20000.00,26.10,64.10,9.70,3.60,82.90,26.60,0.90,33.70,
Barnet,E09000003,82050,257850.00,53350.00,20.90,65.60,13.60,1.90,61.60,16.50,0.20,37.70,
Bexley,E09000004,47950,149400.00,39700.00,20.20,63.00,16.70,1.80,50.00,15.20,0.70,38.90,
Brent,E09000005,67200,222800.00,36350.00,20.60,68.30,11.10,3.50,77.10,25.40,0.20,22.30,
Bromley,E09000006,63050,200500.00,56550.00,19.70,62.60,17.70,1.40,61.20,18.80,0.60,57.40,
Camden,E09000007,35500,169000.00,25750.00,15.40,73.40,11.20,2.30,124.70,26.30,0.30,24.60,
Croydon,E09000008,82900,249100.00,49200.00,21.70,65.40,12.90,2.50,75.70,23.90,0.50,32.20,
Ealing,E09000009,72800,236650.00,39900.00,20.80,67.70,11.40,2.90,75.60,23.00,0.30,31.50,
Enfield,E09000010,71100,209350.00,41650.00,22.10,65.00,12.90,3.20,70.60,19.60,0.50,48.50,
Greenwich,E09000011,61450,190850.00,29250.00,21.80,67.80,10.40,2.90,74.40,25.80,0.60,39.30,
Hackney,E09000012,53500,190250.00,18950.00,20.40,72.40,7.20,3.70,101.10,29.50,0.40,28.30,
Hammersmith and Fulham,E09000013,31850,140250.00,17750.00,16.80,73.90,9.30,2.70,106.20,28.70,0.20,21.10,
Haringey,E09000014,52200,192600.00,24350.00,19.40,71.60,9.00,3.60,83.80,25.20,0.40,27.80,
Harrow,E09000015,50150,160700.00,36650.00,20.30,64.90,14.80,1.80,50.30,15.30,0.20,32.10,
Havering,E09000016,47250,157150.00,45950.00,18.90,62.80,18.40,2.10,62.50,17.30,0.80,59.00,
Hillingdon,E09000017,61100,190500.00,37900.00,21.10,65.80,13.10,1.90,67.20,24.20,0.70,45.00,
Hounslow,E09000018,55150,178900.00,29550.00,20.90,67.90,11.20,2.20,75.00,24.20,0.50,37.50,
Islington,E09000019,35100,166750.00,18950.00,15.90,75.50,8.60,3.10,114.10,31.80,0.50,13.70,
Kensington and Chelsea,E09000020,25350,114300.00,22050.00,15.70,70.70,13.60,2.20,115.50,25.80,0.10,19.80,
Kingston upon Thames,E09000021,32200,112700.00,22300.00,19.30,67.40,13.30,1.40,55.70,15.80,0.40,36.90,
Lambeth,E09000022,57150,238750.00,24500.00,17.80,74.50,7.70,3.40,104.80,30.30,0.50,20.70,
Lewisham,E09000023,60600,205500.00,27000.00,20.70,70.10,9.20,3.40,78.00,25.80,0.50,22.10,
Merton,E09000024,42450,138600.00,25150.00,20.60,67.20,12.20,2.00,57.10,16.00,0.30,35.90,
Newham,E09000025,75100,240500.00,22400.00,22.20,71.20,6.60,3.30,91.00,25.70,0.80,29.90,
Redbridge,E09000026,67000,189850.00,35600.00,22.90,64.90,12.20,2.20,69.50,20.30,0.30,40.30,
Richmond upon Thames,E09000027,39250,124250.00,28100.00,20.50,64.90,14.70,1.30,55.00,13.40,0.30,57.00,
Southwark,E09000028,57100,227800.00,23750.00,18.50,73.80,7.70,3.40,104.50,27.90,0.60,22.60,
Sutton,E09000029,40000,126650.00,29750.00,20.40,64.50,15.20,1.50,53.10,17.10,0.40,33.90,
Tower Hamlets,E09000030,55700,212450.00,16150.00,19.60,74.70,5.70,3.10,99.50,29.50,1.20,26.90,
Waltham Forest,E09000031,59750,184050.00,27600.00,22.00,67.80,10.20,3.40,83.10,24.30,0.50,34.80,
Wandsworth,E09000032,56750,237300.00,28700.00,17.60,73.50,8.90,1.80,71.60,19.20,0.30,31.60,
Westminster,E09000033,33900,170350.00,26300.00,14.70,73.90,11.40,2.20,238.30,39.50,0.20,28.60,
London,E12000007,1726900,5923600.00,982400.00,20.00,68.60,11.40,2.60,83.30,23.40,0.50,39.10,
England,E92000001,10335450,34540350.00,9737650.00,18.90,63.20,17.80,2.30,66.90,13.40,n/a,n/a,
